,feature,gender
2339,komal punjab,0
2340,faqir punjab,1
2341,hassaan sindh,1
2343,saima punjab,0
2345,imdad kpk,1
2346,saleema sindh,0
2347,aftab kpk,1
2348,sheeza punjab,0
2353,hafsa punjab,0
2355,zaheeruddin sindh,1
2357,umer sindh,1
2362,sabz kpk,1
2365,sadaaq punjab,1
2367,margrat sindh,0
2373,misbah punjab,0
2380,waheed sindh,1
2382,farooq punjab,1
2387,sidra punjab,0
2393,nargis sindh,0
2394,mehran sindh,1
2396,hanzala sindh,1
2400,moghees islamabad,1
2408,ghazala sindh,0
2424,hasnat punjab,1
2426,anees kpk,1
2427,lina punjab,0
2429,waheed punjab,1
2430,qaisar sindh,1
2435,habib punjab,1
2437,inayat sindh,1
2443,ziaul sindh,1
2445,mehmood kpk,1
2446,thakoor sindh,1
2447,shahil sindh,1
2449,sumbal punjab,0
2451,tanveer punjab,1
2454,reeta sindh,0
2456,fayyaz sindh,1
2459,amen punjab,1
2460,said balochistan,1
2461,muhammad azad kashmir,1
2463,syed azad kashmir,1
2464,ahtasham azad kashmir,1
2465,faisal azad kashmir,1
2468,zubair balochistan,1
2469,ghulam balochistan,1
2470,habib balochistan,1
2472,shao islamabad,1
2473,armin islamabad,1
2475,huang islamabad,1
2476,talha islamabad,1
2477,lu islamabad,1
2478,ernst islamabad,1
2479,kim islamabad,1
2480,young islamabad,1
2481,xiao islamabad,1
2482,li islamabad,1
2483,joar islamabad,1
2484,kun islamabad,1
2485,mubashar islamabad,1
2486,allaudin islamabad,1
2487,nuntawong islamabad,1
2488,pedio islamabad,1
